tax	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	unclassified	total
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa	0.0	0.0	114.0	8.0	110.0	184.0	4.0	420.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella histicola	0.0	0.0	394.0	1.0	0.0	0.0	12.0	407.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Unclassified_Butyrivibrio	0.0	0.0	44.0	10.0	176.0	160.0	16.0	406.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria bacterium oral taxon 488	1.0	377.0	0.0	1.0	3.0	13.0	7.0	402.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus sputorum	5.0	0.0	390.0	1.0	0.0	0.0	3.0	399.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	2.0	0.0	366.0	0.0	12.0	14.0	5.0	399.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans	30.0	0.0	2.0	12.0	311.0	15.0	6.0	376.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	17.0	0.0	312.0	12.0	14.0	8.0	4.0	367.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;Arachnia rubra	348.0	2.0	5.0	1.0	2.0	3.0	4.0	365.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	136.0	110.0	8.0	7.0	65.0	34.0	4.0	364.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium vincentii	306.0	0.0	9.0	0.0	0.0	0.0	9.0	324.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus sp. oral taxon 168	6.0	99.0	156.0	28.0	11.0	10.0	5.0	315.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parahaemolyticus	1.0	0.0	293.0	0.0	0.0	0.0	3.0	297.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 313	0.0	0.0	278.0	0.0	0.0	2.0	1.0	281.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella nanceiensis	0.0	0.0	160.0	8.0	57.0	49.0	6.0	280.0
Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;Solobacterium moorei	1.0	0.0	150.0	12.0	57.0	29.0	1.0	250.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;Arachnia propionica	45.0	113.0	1.0	0.0	19.0	62.0	2.0	242.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sp. oral taxon 920	4.0	134.0	0.0	2.0	24.0	62.0	9.0	235.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia odontolytica	0.0	0.0	16.0	5.0	73.0	137.0	2.0	233.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Johnsonella;Johnsonella ignava	11.0	127.0	0.0	10.0	30.0	47.0	1.0	226.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia sp. oral taxon 417	0.0	0.0	219.0	0.0	0.0	0.0	5.0	224.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria flava	15.0	89.0	1.0	52.0	27.0	29.0	10.0	223.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter sp. oral taxon 044	0.0	0.0	199.0	0.0	0.0	0.0	9.0	208.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii	168.0	24.0	4.0	0.0	1.0	2.0	4.0	203.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas flueggei	3.0	7.0	0.0	2.0	78.0	111.0	1.0	202.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sp. oral taxon 078	163.0	14.0	2.0	3.0	6.0	3.0	8.0	199.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter rectus	1.0	10.0	0.0	170.0	5.0	5.0	6.0	197.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. oral taxon 066	3.0	1.0	81.0	37.0	23.0	35.0	0.0	180.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 306	0.0	0.0	169.0	0.0	0.0	0.0	7.0	176.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia buccalis	0.0	164.0	0.0	4.0	0.0	0.0	4.0	172.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister invisus	23.0	51.0	7.0	33.0	20.0	27.0	0.0	161.0
